Dump generated at 2018-10-11T00:53:11.084154
Rank	Team Name	School	Score
615	Knights of BIGHITS	Tri-County RVTHS	2610
616	ANusbaum20	Blue Springs Highschool	2610
617	aaaph	Piedmont Hills High School	2610
618	dkorennykh	Princeton High School	2610
619	Squad	Golden valley High School	2600
620	b2c	Montgomery Blair High School, Silver Spring, MD	2585
621	BoostedMonkey	Countryside Highschool	2585
622	dkudriavtsev	Gibson Ek High School, Issaquah, WA	2585
623	kachow	Vandegrift High School	2575
624	byte me;	Thomas Jefferson High School, Jefferson Hills, PA	2575
625	Communism	omaha south high school	2560
626	tamablevirus	Panther Creek High School	2560
627	El Ocean Dervish	ClearSprings HighSchool	2550
628	G44	Oak Hills High School	2550
629	Hun School	Hun School of Princeton	2535
630	ndimov	Millburn High School	2510
631	Gorillas	Advanced Technologies Academy	2510
632	lemihu2000	McKinney High School	2510
633	ignition	Mountain View High School, Mountain View, CA	2510
634	McAtee's CS2	Twin Lakes High School	2510
635	p̵̝̀t̷̟͘e̵͎͊r̴̞̀ă̸͇b̷̆ͅy̷̟̍t̶́ͅe̴̯͛	Bristol Plymouth Regional Tech. 	2500
636	Sparky	Ansonia	2485
637	Elkhoutsiders	Elkhorn Area High School	2475
638	The Code Throwers	Cedarburg High School	2475
639	TheCyberLadies	houston high school	2475
640	Null Terminators	Albemarle High School	2475
641	wild_stallions	Herriman High School	2460
642	Name	Homeschool	2460
643	Apollo19	Mineola High School	2460
644	thesupercat	San Ysidro High School	2460
645	GalentGentlemans	CHS	2435
646	Razin's Children	T.H Rogers	2435
647	Darkness	Central Education Center	2435
648	HPHS	Highland Park High School	2425
649	TacoShark	Thomas Jefferson High School, Pittsburgh, PA	2425
650	Da Hood	Grafton High School	2425
651	Danny DABino	Mira Mesa High School	2425
652	CoderBroz	Edison High, Fresno, California	2410
653	PieChart	Homestead High School	2410
654	SNBeast	Warwick High School, Lititz, PA	2400
655	TKwon	South High School, Torrance CA	2400
656	#keyboardkrackers	Trivalleycoderdojo	2400
657	NotDoingTooWell	The Dalton School	2385
658	Art3mis	CRLS	2375
659	Feminism	The Dalton School	2375
660	NolanC	Londonderry High School	2375
661	NEOC_Hackerz4Life	NeoCity Academy	2375
662	The Wolf Pack	Skyridge High School	2375
663	PhoenixHackers	RRHS	2360
664	CoolTeam	Dos Pueblos High School	2360
665	Thicc Boys	ACTC	2360
666	Binary Breakers	washington	2360
667	TheRockFish	Central High School, Springfield, MO	2360
668	LinuxCoder123	DRHS	2360
669	The Leaping Potatoes	Midway ISD	2360
670	Cracker Bois 	Countryside High School, Clearwater, FL	2360
671	Pcss Panthers	Pioneer Charter School of Science	2350
672	William	Clear Springs High School	2350
673	Inconsistently Consistent	Mira Mesa High School	2325
674	M1h1ka	Fallon Middle school	2325
675	GodOfAkina	Greeneview High School	2310
676	DailyUpdatesOnBettyWhite	West Side CTC	2310
677	Gooneths	Great Mills High School	2310
678	NGKnights	New Glarus	2310
679	LordCryozus	Union High School	2300
680	Cyberkings	Francis Polytechnic senior High School	2300
681	RICE	Los Altos High School	2285
682	aaronseo	Cerritos High School	2285
683	TeamName2	Kapolei High School	2285
684	ThiccMainframe	Bollman Technical Education Center	2285
685	Cougar Cats	Kennedy 	2275
686	TC Navy	Tri-County RVTHS	2275
687	Pico-chu	Vandegrift High School, Austin TX	2275
688	Jaden Balonkitas	Golden Valley High School	2275
689	0ss	Cleveland HS	2260
690	justQlearning	Warwick High School	2260
691	l33t_h4x0rs	Seneca Valley School district	2260
692	2OddMHSCyber	Matoaca High School	2260
693	EAHS Underdogs	Elkhorn Area High School	2250
694	SenpaiHackerz	Crescent Valley High School	2235
695	TALL BOIS	Newark Academy	2235
696	CyberDogs	Blue Springs High School	2235
697	Fortnite Streamers	Kapolei High	2225
698	CoolBoys	Riverview	2225
699	CARMYT Squad	Glades Middle school, MIramar FL	2225
700	TechNoLogic	Forsyth Central High School	2210
701	KeepOn!	MVHS	2210
702	lucasSkyrunner	Naperville North High School, Naperville, IL	2210
703	Vanilla Oreo	A-Tech	2210
704	DCG	Rancho Cucamonga High School	2210
705	✋♐ ⍓□◆ ♍♋■ ⧫❒♋■⬧●♋⧫♏ ⧫♒♓⬧ ■♓♍♏📬	Twin Lakes	2210
706	alexia6119	Walter Johnson	2210
707	The Great Tomb of Nazarick	Creekside High School	2210
708	在座的各位都是弟弟	Cerritos High School, CA	2210
709	File Corrupted	Central Campus, Des Moines, Iowa	2200
710	neko	High School North	2200
711	99040013	Golden Valley	2200
712	Trooper356	Battlefield High School	2185
713	JAK	The Paideia School, Atlanta, GA	2185
714	ProProgrammer	Wilbraham and Monson Academy	2185
715	triblonde	Hun School	2185
716	AgentCodename	Bristol Plymouth Regional Technical School	2160
717	winnerzz	Torrance South High School	2160
718	Decoders	Graves County High School	2160
719	Xx_ultimat3Hax3rz_xX	Stevenson High school, Livonia, MI	2150
720	BOBOBOTNEATSDC	Vandegrift High School	2150
721	Team Flash	Creekside High School, St. Johns, Florida	2150
722	Solitude	Cerritos High School	2150
723	CanI_haZLAMP	Grafton High School, MA	2150
724	The Legendary 5	Matoaca High School	2150
725	4kofFnD13	Cerritos High School, Cerritos CA	2150
726	ZeroDay	Catlin Gabel	2135
727	Wirebarn	Franklin	2135
728	hugjz	The Dalton School	2135
729	Key Punchers	Glades Middle School	2135
730	ChloeJLila	Governor Thomas Johnson High School	2135
731	whyisjamescryin?	Houston High School	2125
732	Youngthanael	Clear Springs High Schol	2125
733	TeamExtreme	T.H. Rogers	2125
734	cyberkid1	Trivalley Coderdojo	2125
735	Heimerdawg	Homeschool	2110
736	CNA	Bard High School，New York，US	2110
737	MCTI	MCTI, tannersville,PA 	2110
738	DD.LMW	dmps	2110
739	influenza	Wellesley High School	2110
740	EliteHaxors	Riverton High	2110
741	Booette is Best Girl	Eleanor Roosevelt High School	2110
742	COOLGUYSONLY	Murrieta Mesa High School	2100
743	NEOC_MichelleIsShort	NeoCity Academy	2100
744	Blue Pandas	Grafton High	2100
745	EasternBlackMagic	Darlington School	2085
746	adsqiecowlxi	East Brunswick High School	2085
747	Earth is Flat	Dublin High School, Dublin CA	2085
748	Defiance	Central Education Center	2085
749	GoldenDucks	SHS	2075
750	Wild Kittens	James Whitcomb Riley South Bend IN	2075
751	Cyberbullies	Westmont High School	2075
752	Chiefs	North Ridgeville High School	2075
753	Bonita is Better	San Dimas	2075
754	MiddleTable	Sioux City Career Academy	2075
755	emNems	Cerritos High School	2060
756	Top Servo	Charyl Stockwell Academy	2060
757	XCTF	Xavier Academy, Houston, TX	2060
758	PicoDeGalloCarbohydrateTrainingFacility	Midway High School, Hewitt TX  	2060
759	finessers321	Golden Valley High School, Santa Clarita, CA	2060
760	FlammingCrazys	Grafton Public High School	2050
761	Bimfton's Battalion	Grafton High Shool	2050
762	Th3B3ARz	Pearl city high school	2050
763	Meaty Boys	Golden Valley High School	2050
764	kennedyboys	john f. kennedy cedar rapids	2050
765	JCV	Poolesville High School, Poolesville, MD	2035
766	lowellhackingclub	poop	2035
767	Console>PC	Golden Valley High School	2025
768	Wasted Potential	Riley High School	2025
769	mmo	Niles West High School	2025
770	Roobotics 1	Killeen	2025
771	CyberLegion	Beverly Hills, CA	2010
772	chanzan2000	K12 ARVA	2010
773	cuties	Blue Springs South	2010
774	round_four	The Nueva School	2010
775	mddeters	Nevada High School	2010
776	PostFinem	AAHS	2010
777	Sheldon Axler Fan Club	The Dalton School	2010
778	hatcannon	Brainerd High School MN	2010
779	PCJB	Pennsbury High School	2000
780	samuel gadi	South High	2000
781	hax	Poolesville 	2000
782	PhilNIsGonnaLoseButWhatever	Union High School	2000
783	RamRanch	Lubbock High School	2000
784	emaN dooG	Upper Arlington High School	1985
785	Aichop	George Jenkins	1975
786	NEOC-Winston Swipin' Bananas	NeoCity Academy	1975
787	Team Go	Shakopee Highschool	1975
788	WWPHackers	West Windsor-Plainsboro High School North	1960
789	Dalton CTF	The Dalton School	1960
790	Nightangle	T.H.Rogers, Houston, Texas	1960
791	SnorLaxatives	Pattonville High School	1960
792	HighlandSR	Highland Park High School	1950
793	First.Last@asdnh.org	Academy for Science and Design	1950
794	Team MOJA	Grafton High School Grafton MA	1950
795	ChinaH.L.B	hfut.cA	1950
796	RIP Esther	Grafton High School, Grafton, MA	1950
797	team_fix	Pittsford-Mendon High School	1935
798	MSMC	Mount Hebron High School	1935
799	Pauliticians	Montgomery Blair High School	1925
800	garrick	Wellesley High School	1925
801	Chicken Nugggz	Riley Highschool, South Bend, IN	1925
802	HaxMoney	Golden Valley High School	1925
803	natt.orious	Rocklin High School	1925
804	OurBabi	Mckinney High	1925
805	69 Tons of Data	Upper Arlington High School	1910
806	redvelvet	Mount Hebron High School 	1910
807	WeWantMoney	Paideia School	1910
808	FivePM	Suncoast Community High School, FL	1910
809	0xCoffee	CAST Tech, San Antonio, TX	1910
810	CodeBreakers	Hopkinton MA	1900
811	bebravechild	Union High school	1900
812	A_Team	Midway isd	1900
813	orange	Peabody School	1885
814	Boys_Battalion	Kapolei High	1885
815	Teamv2	Vista Ridge High School, Cedar Park, TX	1885
816	Richard Montgomery Blair	Richard Montgomery HS, Rockville MD	1875
817	Dads	Countryside High School, Clearwater, FL	1875
818	Bumblescrungous	Tri-County RVTHS	1875
819	the lamps	Central High School	1860
820	ded2018	Rock Springs High School	1860
821	MicScreamMen	Valley View Junior High	1860
822	DDOSmytoaster	Rock canyon high school 	1860
823	MinecraftGods	Creekside High School	1860
824	ItsWhatever	Red Bank Regional High School	1850
825	Super Fresh	Blue Springs Freshman Center	1850
826	The N0B0DYs	lake worth	1850
827	Tbreach	TriValley CoderDojo	1850
828	TachankaBois	Lincoln High School, Lincoln AL	1850
829	Bagels	Grafton High School	1850
830	trackman1111	Battlefield, VA	1835
831	alphanumericname	paradise valley Hight school	1835
832	SyntaxErrorCTF	Silver Creek High School	1835
833	synderWicca	G. Holmes Braddock	1835
834	Clements Inventors Team B	William P. Clements High School	1825
835	TheBibileAppIsFree	Lubbock High School	1825
836	VVJH-HACKERS	Valley View Jr. High	1810
837	Swaces	Lower Merion, Ardmore, PA	1810
838	Mr. Stout's Favorite Magic Card	Harvard-Westlake	1810
839	daknuckleheadz	Kapolei High School, Kapolei, HI	1810
840	agwarrior	Milpitas	1810
841	owo	Troy High School, Fullerton, CA	1810
842	itsmedude	Thomas Jefferson High School	1810
843	MCHS Megabytes	McDonald County High School	1810
844	chinchindaisuki	Nashua South	1810
845	MentallyAdvanced	Twin Lakes High School	1800
846	Snapple	Warren Hills Regional Highschool	1800
847	Gekkota	Midway High School	1800
848	1044143	South High School	1800
849	YoloSwag	Pattonville Highschool	1785
850	chmod7770	RJ Reynolds	1785
851	Garbage	GMHS	1775
852	icanthack314	Montgomery Blair High School	1775
853	All Your Cookies Belong To Us	dulles high school	1760
854	Gummy Gamers	Jackson Memorial High School	1760
855	zedain01	John Champe	1760
856	Obesity.	Golden Valley. Santa Clarita, CA	1760
857	ThinkSTEM	paradise valley high school	1750
858	Harshmallow	Cerritos High School	1750
859	dohboiroh	Union	1750
860	Backkeysh Bois	Great Mills High School	1750
861	TandA	Matoaca High School	1750
862	Spook	svcte	1750
863	tom.	The Dalton School	1735
864	NEOC-McDonaldsMoistTowelette	NeoCity Academy	1735
865	JAARS	Laguna Creek High School	1735
866	TheGreenGoato	Fairview High School	1735
867	thegreatpotatos	John F. Kennedy Cedar Rapids	1725
868	ME 	Harvard Westlake	1725
869	jennifer	Cedar Park High School	1725
870	Lepidus	Kapolei High	1725
871	(xXx_bigbois_xXx)	Lubbock High	1725
872	WhomVolume2	Matoaca High School	1725
873	marvel4	Niles West High School	1725
874	compsciwizadz555	The Dalton School	1725
875	cherkashine	Los Altos High School	1725
876	redsquadron	Oakton High School	1710
877	tanayog	amador 	1700
878	Death123	SWCA	1700
879	youreagoodkidyouknowthat	Houston High School	1700
880	samuellevin19	Wayland High School	1700
881	LenBambert	Interlake High School, Bellevue WA	1700
882	MegandTerry	Thomas Jefferson High School	1700
883	wubba-lubba-dub-dub	Dalton School	1700
884	OctothorpeExclamation	Sandwich High School, Sandwich MA	1685
885	undefined	The Lawrenceville School	1685
886	Knights of Fred	Miami Valley CTC	1685
887	LokiH	Santa Fe Prep	1685
888	jaffesarmy	Patrick Henry High Scool	1685
889	Solivagrant	Central High School, Springfield, MO	1675
890	ComSci Girls	Bergen County Academies	1675
891	The Meats	Academy of Science and Design	1675
892	I'm Squidward	San Dimas High School, San Dimas	1675
893	unknown-marmadukes	Matoaca	1675
894	CarsonS19	Central High School	1675
895	Tempest	Niles West	1675
896	EvanWeller	San Dimas High School	1675
897	mjpatton	Benjamin Franklin, Uniontown, PA	1660
898	Ez Clap	Miller Career and Technology Center	1660
899	Bigfunny	Cajon High School	1660
900	AVPB	great mills high school	1660
901	Quintet Wolves	Lake Hamilton High School	1650
902	BbrbhbmLncln	Mission San Jose High School, CA	1650
903	Waffle Fries	Howard High School, Columbia MD	1650
904	SQUAD	Cerritos High School	1650
905	slothom	Lubbock High	1650
906	Ayanapeterson	golden valley high school	1650
907	chingalongdongding	Creekside	1650
908	No Solves Yet	Thomas Jefferson High School, Pittsburgh, PA	1650
909	ShellShockerPoptarters	Jesse	1650
910	JFancella	Armstrong jr/sr High School	1635
911	team1iguess	Millard North High School	1635
912	ktwombly	Pioneer Jr. High, Upland, CA	1635
913	Redox	Del Norte High School	1635
914	The D3AD Knights	Graves County High School	1625
915	Krasnaya Armiya	Creekside High School	1625
916	hackerpeopleofcricket	Midway	1625
917	pr0h4x0rz	Cerritos High School, Cerritos,CA	1625
918	Lord Matt	Grafton High School	1625
919	Easy Bake Ovens	Bergen County Academies, Hackensack, NJ	1625
920	TrippyHippy	Homeschooled	1610
921	Frinto	South Gate High School	1610
922	arenman	Faith Lutheran Middle and High School	1610
923	teaM namE	Richardson High School	1610
924	Falcon_Bots	Highlands Ranch High School	1610
925	Patrick Henry High School Cyber Team 2	Patrick Henry High	1610
926	Running Grizzlies	Golden Valley High School	1610
927	The Outstanding Orange Ostriches	Freshman Center	1600
928	deepfried	West Windsor Plainsboro High School North	1600
929	Less Intelligent Guys Making Avocados	Creekside High School	1600
930	Duval Tech Support	Creekside 	1600
931	Jarvis1073	Londonderry High School	1600
932	Bungle Chumbos	Tri-County RVTHS	1600
933	Dream Team of Memes	Central Campus	1575
934	2070 Paradigm Shift	Grissom High School 	1575
935	Vespas	Great Mills High School	1575
936	jls	Pearl City High School	1575
937	MyPasswordIsPassword	La Jolla High	1575
938	DYS	Central Campus	1575
939	TheBigBallers	James Whitcomb Riley 	1575
940	😎😎😎	Xavarian	1560
941	The Tall, The Short, The Young	Riley High School, South Bend, Indiana	1560
942	ClevengersCoolKids	Blue Springs High School	1560
943	mrmcaustin1	Health and Science High School	1560
944	TCA	Texas Academy of Mathematics and Science	1560
945	UltraLuigi	Golda Och Academy	1560
946	The Grid	All Saints Academy	1550
947	indypendence	Riley, South Bend	1550
948	Team Supreme Heat	Red Bank Regional High School	1550
949	nostrils	Algonquin Regional High School	1550
950	THE ODD SQUAD	Graves County High School	1550
951	Wellesley High School CS Club	Wellesley High School	1550
952	PHSPicoFTW	Pittsburgh,Pa	1550
953	CyberLife	Midway High School	1550
954	BBC	bollman technical education center	1550
955	SHJB	Byram Hills High School	1550
956	yomama	Stroudsburg High Schol	1535
957	CoderDojo_picoCTF2018	Tri-Valley CoderDojo	1535
958	Team Neirad	Darien High School	1535
959	Der098	Hun school	1525
960	Food is the best	Cypress High	1525
961	SouthSquad	Nashua High School South	1525
962	cool	Oak Valley Middle School	1500
963	AngryClerks	Tri-County 	1500
964	EternalAether	Clear Springs High School	1500
965	Team Wilkins	Red Bank Regional	1500
966	Fluffy Dragons	Countryside High School	1500
967	Turrent54	West Leyden High School	1500
968	goPhish	Poolesville High School	1500
969	emirau1	Niles West, IL	1500
970	Reido	Shahala, Vancouver, WA	1485
971	The Cheeksters	Warren Hills Regional High School	1475
972	The-A-Team	Academy for Science and Design	1475
973	Robert70443	Riley High School	1475
974	Senior101	Twin Lakes High School	1475
975	xdKlan	Grafton Highschool Massachusetts	1475
976	keem jong oon	Niles Township West HighSchool d219	1475
977	Mustangs171	Damonte Ranch hs	1475
978	BLTeam	Dalton School	1475
979	redjackt	TJHSST	1460
980	JacktheNewt	Bergen County Academies	1460
981	20365048	MVHS	1460
982	PoconoMountainEast3	Pocono Mountain East	1460
983	The Gentle Koalas	Algonquin Regional High School	1460
984	Skyline	Skyline High School	1460
985	The	Hamilton Southeastern High	1460
986	JROTC boys (and girls)	Kapolei High School, Kapolei, HI	1460
987	robloxiscool55	T.H. Rogers	1460
988	jarrosha	Gibson Ek	1460
989	syp	Montgomery Blair HS, Silver Spring, MD	1460
990	Liberty High School	Liberty High School	1460
991	MrX	Breckenridge High School	1450
992	Pyroturtle	Homestead High School	1450
993	The Computer Somolians	Twin Lakes High Schiool, Monticello, IN	1450
994	Marte72412	Riley Highschool	1450
995	Team E	Graves County High Schools	1450
996	forerunner	Troy High School	1450
997	FlamingKetchup	Mission San Jose High School, Fremont, CA	1450
998	Ethanaldr	Went career and technical academy	1435
999	_Anonymous_	Clear Springs High School	1435
1000	shravyamshetty	Deep Run High School	1435
1001	RossLefkowitz	Golda Och Academy	1435
1002	mspaint	Poolesville High School, Poolesville, Maryland	1425
1003	ep1c-gam3rs	Southwest High School	1425
1004	Buff Bois	South High School	1425
1005	The Real Defaults	Ledyard Highschool, Ledyard, CT	1425
1006	starwarscoder	riley 	1425
1007	WarhawksSHS	Semniole high School	1425
1008	fonda1515	Bristol Plymouth, Taunton, MA	1425
1009	ShineBloo	Warwick High School	1425
1010	Gecko Squad	Golden Valley High School	1425
1011	l4z0rb34m5	Blacksburg High School	1425
1012	sophomoresAPCS	Byram Hills High School	1425
1013	Team Magenta	Decorah High School	1425
1014	drporkchop64	Matoaca high school	1425
1015	Laughing Men	bergenfield high school	1425
1016	Supreme Pizzas	Hazelwood West High	1425
1017	Green Team	Peabody School, Charlottesville, VA	1425
1018	nullbones	RockwellCharterHighscool	1410
1019	SWW	School Without Walls High School, Washington, DC	1410
1020	jihad	STEM School HR	1410
1021	dven2020	North Allegheny Senior High School	1410
1022	sgoodac871	North High	1410
1023	Flamin' Plague	Golden Valley High School	1410
1024	The Ugly Hackers	Dublin High School, Dublin, CA	1400
1025	Ali_is_a_bad_name	Amador Valley High School	1400
1026	Hello_World	Joshua	1400
1027	ID10T's	highland park minnesota	1400
1028	MURDA_code	Mamaroneck High School	1400
1029	Darrenx301	Countryside Highschool	1400
1030	Fixation	cajon highschool	1400
1031	The Avengers	Clear Springs High School	1400
1032	Fat L's 4 Dayz	Riley High School	1400
1033	jc1019782	South High School, Torrance CA	1400
1034	FinancialFellas	Cypress High School	1400
1035	Prometheus777	Fallbrook High	1400
1036	Zephyr	Makua Lani Christian Academy	1385
1037	Team Armstrong	The Dalton School	1385
1038	Kwright02	Pattonville Highschool	1385
1039	ASD Hackers	Academy for Science and Design	1385
1040	Tech-Tonic	Countryside High School	1385
1041	RR1956	Oasis	1385
1042	who23	Princeton High School	1385
1043	The Gooses	Grafton High School	1375
1044	Kartoffel	Tea Area High School	1375
1045	cool guys	ledyard high school	1375
1046	ArteBall007	La Jolla high school	1375
1047	Elves	Midway High School Waco,Tx	1375
1048	crimp godZ	Lubbock High	1375
1049	You Can Name It	Pearl City High School	1360
1050	Sweaty Gang	Mineola High School	1360
1051	amador	amador valley high school	1350
1052	GradientHat	Lakewood High School	1350
1053	fealm	Henry M. Gunn High School	1350
1054	Rocket Champs	Midway High School, Waco, Texas	1350
1055	Tony's Tigers	Grafton High School, Grafton, MA	1350
1056	95'Bulls	Cajon high, California CA	1350
1057	The Flying Spaghetti Monster	Countryside High School	1350
1058	TheBestGroup	Ardsley	1350
1059	jackisslowattyping	Academy for Science and Design, Nashua, NH	1350
1060	Mesa Colombian Boot Weasels	Murrieta Mesa High School	1350
1061	dovahqueen	Fallbrook High School	1350
1062	Camryn	Omaha South High	1350
1063	   	Matoaca	1350
1064	Unorthodoxford Commas	Upper Arlington High School	1335
1065	 h 	Countryside HighSchool	1335
1066	redacted	Albany High School	1335
1067	philzerz	Union High school	1325
1068	Wyomissing2018	Wyomissing Area High School	1325
1069	0987654321	Academy for Science and Design 	1325
1070	callied	Nevada High School	1325
1071	Haha me too	Whetstone academy 	1325
1072	Order66	Springfield Township High School	1325
1073	Weed Whackers 	Houston High School 	1325
1074	ur_all_TRASH	Academy for Science and Design	1325
1075	SDHSTT	San Dimas 	1325
1076	MRFINDER	Pearl City High School	1325
1077	John Madden	Tri-County	1325
1078	The Meme	campbell county	1325
1079	the queens	Cabrillo High School	1325
1080	dannydontyouknow	oak hills high school	1325
1081	Girls	Tri-County RTVHS	1325
1082	Brown Hat	Dougherty Valley High School	1310
1083	LVVikings	Loudoun Valley High School	1310
1084	EDWARD AND THE PENTAGON	ASD	1310
1085	i sel my wife 4 internet conection	EGHS	1310
1086	thetoastishere	Ledyard High School	1310
1087	safegergis	Troy High School, Fullerton, CA	1310
1088	Vikings2	Mt. Hebron High School	1310
1089	dpignone7	Londonderry High School	1310
1090	roundbois	Midway High School	1310
1091	Josh and sonz	Midway High School	1300
1092	memes	Glenbrook North High School	1300
1093	Rodriguez	ITSA	1300
1094	defaults4life	Golden Valley High School	1300
1095	Astralis	Fallbrook High	1300
1096	TheThreeAmigos	Hun School of Princeton	1300
1097	Kesheg	Fallbrook High	1300
1098	grlpwr4life	The dalton school	1300
1099	MEME TEAM 2018	CCDS	1285
1100	Google Search	Assurance Learning Academy	1275
1101	CJGW	Naperville North High School	1275
1102	ihj lmao	Upper Arlington High School	1275
1103	Picyo	Midway High School, Waco, Texas	1275
1104	irisdalek	St. Dominic Savio Catholic High School	1275
1105	PHSGradualWatermelons	Poolesville High School, Poolesville, MD	1275
1106	ThanosCarsubscriptThanosCar	Academy for Science and Design	1275
1107	team in japan	Red Bank Regional High School	1275
1108	ThereIsAGoodReasonThisTeamNameIsSoLong	Sentinel High School	1275
1109	<><<>><IOOIIPIPOI	Wando High	1275
1110	yrtyhy675dcyuy87t6iu	GLHS	1275
1111	god hates flags	California Academy of Mathematics and Science	1260
1112	Duran's Minions	Lindblom 	1260
1113	.titanic{float:none};	Paradise valley high school	1250
1114	orangecube	Troy High School	1250
1115	Pineapples	Countryside High School	1250
1116	CSC 2 the electric bogaloo	Green Valley High School	1250
1117	322125	Central High School MO	1250
1118	kday8	Wayland High School	1250
1119	1111111	Academy for Science and Design	1250
1120	MidKnights	East Lake High School	1250
1121	I Think It's Fine	Countryside High School	1250
1122	Xlion	San dimes highschool	1250
1123	Vikings	Mt Hebron High School	1250
1124	Poodlemoth	School of Science and technology	1250
1125	Unknown	Tri-county RVTHS	1250
1126	DSBarbies	Kapolei High School	1250
1127	clowns	TH Rogers, Houston TX	1250
1128	ValerieShoker	Union High School	1250
1129	Freak Alliance	Brunswick High School	1235
1130	This Is So Sad	Hershey High School	1235
1131	purge kernel	southwest high school	1235
1132	crIms0nc0d3r	Genesee Christian School	1235
1133	Thoughts	Countryside Highschool	1235
1134	dchoi315	Bergen County Acadmies	1235
1135	friedChicken	Wellesley High School	1225
1136	String Theory	Lynbrook High School	1225
1137	404 not found	Spring-Ford Senior High School	1225
1138	The Garfielfs	Red Bank Regional High School	1225
1139	Wraiths	Midway isd	1225
1140	Lumnuse	Princeton High School	1225
1141	Pico_De_Gallo	Vandegrift High School	1225
1142	University of Greenland 2.0	Waipahu High School	1225
1143	error303	High School North	1225
1144	Outliers	Creekside High School	1225
1145	Powchicken	Millard North Highschool	1225
1146	The Players	Breckenridge ISD	1225
1147	Atlas	Eastlake High School, El Paso, TX	1210
1148	Yeetus	Newark Academy	1210
1149	Saperlipopette	Alpharetta High School	1210
1150	frick774	Pattonville High School, Maryland Heights, MO	1210
1151	Hydra	Herriman High school, Herriman UT	1200
1152	Dank Science	Windber Area High School	1200
1153	ByteofSPAM	East Brunswick High School	1200
1154	FaZe clan	Red Bank Regional, Little Silver, Nj	1200
1155	All We Got	Riley high School	1200
1156	3093300	Matoaca High School	1200
1157	Nazarick	Derby High School	1200
1158	BloodOrcid	Lubbock High School	1200
1159	The Goonies	West Milford High School	1200
1160	Dalton10	The Dalton School	1200
1161	anoob	Takoma Park Middle School	1200
1162	eleven	trivalleycoderdojo18	1200
1163	Glitch In The Matrix	North Hagerstown High School	1185
1164	Mr. Smath	Countryside Highschool	1185
1165	JavaCode	East Brunswick High School, East Brunswick, NJ	1185
1166	Rainbow Hat	Pine Hollow	1185
1167	Bookworm0024	Eastlake High, Chula Vista, CA	1185
1168	P1NGR4H@CK	Pingry School, Basking Ridge, NJ	1185
1169	Bojack	North Allegheny	1185
1170	S0L0	Faith Lutheran	1175
1171	Tantan4321	East Ridge High School, Woodbury, MN	1175
1172	ASDF!!!	Troy High School	1175
1173	MarioBrawler1001	Nevada,IA	1175
1174	Frosted Cookies	Central	1175
1175	washhigh5	Washington High School	1175
1176	WumpusBumpus	Freehold Boro, NJ	1175
1177	Lazymanz15	Fallbrook High School	1175
1178	Kerbal Space Programmers	Bergen County Academies, Hackensack, NJ	1160
1179	Buzzing Riot	academy for science and design	1160
1180	whatis6x7	richard montgomery	1160
1181	FaZe	Burlington Township High School	1160
1182	dodecagon843	Monte Vista High School	1160
1183	whomp	Harvard Westlake	1150
1184	Moonshadow	Central High School, Springfield, Mo	1150
1185	denver	ASD	1150
1186	nicisstupid	EOC tech	1150
1187	Skeletal Calcium	Red Bank Regional High School	1150
1188	Maret School	The Maret School	1150
1189	The Yeetles	Southeast Polk High School, Pleasant Hill, IA	1150
1190	Shrek's Children	Sentinel, Missoula, MT	1150
1191	AttackHelicopters	Niles West High School	1150
1192	ehuebner001@stpaul.k12.mn.us	Highland Park Senior High	1150
1193	Tom Hollands	The Dalton School	1150
1194	The Rapid Hippos	Campbell County High school, Wyoming Gillette 	1150
1195	The Coven	Lincoln High School, Lincoln, AL	1150
1196	Ovuvuevuevueenyetuen	Matoaca HS	1150
1197	ndtrice	Theodore Roosevelt	1150
1198	Anabel	Strath Haven High School	1150
1199	:-)	Grafton High School	1150
1200	JustinT3081594	Matoaca, Virginia, VA	1150
1201	Blackout	Gardendale HighSchool	1150
1202	Toledorigo16	Verdugo Hills Highschool	1150
1203	Lämp	Londonderry High School Super Coders	1135
1204	spageti	Clear Springs Highschool	1135
1205	Mililani High	Mililani High School	1125
1206	GingyWithASpoon	Highland Ranch Highschool	1125
1207	Hackland Park	Highland Park Senior High	1125
1208	Technicalwaffle	South High School	1125
1209	table1	Dublin High School	1125
1210	Gorls	Riley High School	1125
1211	Wiisports	East Lake High School	1125
1212	Backstreet Boys	Lubbock High School	1125
1213	Cat Ninjas	Golden Valley High School	1125
1214	Evan665	Ashwaubenon High School	1125
1215	daisydreams	clear springs 	1125
1216	SpaceMexicans	Barstow High School, Barstow, ca	1125
1217	picobrains	TJHSST, Alexandria, VA	1110
1218	kuledud3s	Ledyard High School	1110
1219	h@x3r5	Lake Braddock High School	1110
1220	Epic Gamer Squad Gamers	Bristol Plymouth Reigonal technical	1100
1221	Xenofeline	Santa Fe Preparatory School	1100
1222	nyaaaa	Dalton	1100
1223	ynot	Cerritos High School	1100
1224	rmiezao	Wellesley High School	1100
1225	BlondeGingy	Riley High School	1100
1226	HarryKaplan	South High School	1100
1227	707	Golden Valley High School, Santa Clarita, CA	1100
1228	lfzhou	School	1085
1229	hellotiebear	MDIHS	1085
1230	MrPeanuter	Shadow Hills High School	1085
1231	javagirl	BASIS Independent Silicon Valley	1085
1232	LeanMeanDreamTeam	south high	1085
1233	WIT interns	Paradise Valley High school	1075
1234	ecarr0	Academy for Information Technology	1075
1235	The Mario Squad	Churchill Junior Highschool	1075
